dataset_group,fold,dataset,anchor,anchor_mean_abs_corr_delta,anchor_target_corr_real,anchor_target_corr_synthetic,anchor_target_corr_delta
covid,2,Standard_CTGAN,comorb_cirrose,0.08375869078335291,0.2306921363768405,-0.05838410490297551,0.289076241279816
covid,2,S0_A0_realism_only,idade,0.15047839047117817,0.19514347218751552,-0.04428686340813582,0.23943033559565133
covid,2,S0_A0_realism_only,sexo,0.08571357065522725,0.03191030575451523,-0.03001357756421862,0.061923883318733844
covid,2,S0_A0_realism_only,tabagismo,0.0774224059340136,0.07434203660418147,0.0011846851004700836,0.07315735150371139
covid,2,S0_A0_realism_only,comorb_cirrose,0.06885592801003135,0.2306921363768405,0.0,0.2306921363768405
covid,2,S1_A0_sep_only,idade,0.147119092376758,0.19514347218751552,0.16861497683087737,0.02652849535663815
covid,2,S1_A0_sep_only,sexo,0.09072695021923978,0.03191030575451523,-0.03001357756421862,0.061923883318733844
covid,2,S1_A0_sep_only,tabagismo,0.07075573986286922,0.07434203660418147,-0.05111943508145791,0.12546147168563937
covid,2,S1_A0_sep_only,comorb_cirrose,0.057343549453431224,0.2306921363768405,0.21521779738463953,0.015474338992200964
covid,2,S0_A1_anchor_only,idade,0.1500711383064399,0.19514347218751552,0.010591473604789068,0.18455199858272645
covid,2,S0_A1_anchor_only,sexo,0.0870619572706891,0.03191030575451523,-0.021333846466535394,0.053244152221050625
covid,2,S0_A1_anchor_only,tabagismo,0.0728787323880223,0.07434203660418147,0.08904883005200127,0.014706793447819805
covid,2,S0_A1_anchor_only,comorb_cirrose,0.05612144268163788,0.2306921363768405,0.10700036092719932,0.12369177544964118
covid,2,S1_A1_sep_anchor,idade,0.13961081039259596,0.19514347218751552,0.26449251419283115,0.06934904200531564
covid,2,S1_A1_sep_anchor,sexo,0.09218355659953319,0.03191030575451523,-0.016975322238772243,0.04888562799328747
covid,2,S1_A1_sep_anchor,tabagismo,0.07576401519971651,0.07434203660418147,0.0713318567655899,0.003010179838591573
covid,2,S1_A1_sep_anchor,comorb_cirrose,0.0635432923375513,0.2306921363768405,0.24107957514994102,0.010387438773100527
covid,3,Standard_CTGAN,idade,0.13531393849822154,0.25711758416089997,-0.0014566857754978013,0.25857426993639776
covid,3,Standard_CTGAN,sexo,0.10829741555161455,-0.007486246804364486,-0.022486283196025036,0.015000036391660549
covid,3,Standard_CTGAN,tabagismo,0.07489070032362724,0.16344249691090806,0.06550878966568696,0.0979337072452211
covid,3,Standard_CTGAN,comorb_cirrose,0.08049108540348189,0.20485162309968538,0.07536188617468148,0.1294897369250039
covid,3,S0_A0_realism_only,idade,0.14149890233159768,0.25711758416089997,-0.04608921482349969,0.3032067989843997
covid,3,S0_A0_realism_only,sexo,0.08574490740322496,-0.007486246804364486,0.06008698092976758,0.06757322773413206
covid,3,S0_A0_realism_only,tabagismo,0.07468451330662806,0.16344249691090806,0.059530059704836207,0.10391243720607185
covid,3,S0_A0_realism_only,comorb_cirrose,0.055187427814690465,0.20485162309968538,-0.03513444687161769,0.23998606997130306
