prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.15,1.0,moderate,7,SepAware-SMOTE,LogisticRegression,0.6959619587814673,0.7507136826022275,0.5974025974025974
0.15,1.0,moderate,7,SepAware-SMOTE,RandomForest,0.8570074092351264,0.8818040085326249,0.7976878612716763
0.15,1.0,moderate,8,Real only,LogisticRegression,0.5457281014035154,0.6259010310532559,0.32786885245901637
0.15,1.0,moderate,8,Real only,RandomForest,0.8848686991726297,0.8371201838395445,0.7152317880794702
0.15,1.0,moderate,8,Random oversampling,LogisticRegression,0.4684905448941115,0.6025706071368171,0.41975308641975306
0.15,1.0,moderate,8,Random oversampling,RandomForest,0.8777673906615491,0.9076496844697552,0.8426966292134831
0.15,1.0,moderate,8,SMOTE,LogisticRegression,0.479825543596001,0.6047883613036256,0.4177215189873418
0.15,1.0,moderate,8,SMOTE,RandomForest,0.8468500843127269,0.8701374115113154,0.7807486631016043
0.15,1.0,moderate,8,SepAware-SMOTE,LogisticRegression,0.5250961621714748,0.6362512760539912,0.4404332129963899
0.15,1.0,moderate,8,SepAware-SMOTE,RandomForest,0.8700708856109258,0.8981992579857027,0.8255813953488372
0.15,1.0,moderate,9,Real only,LogisticRegression,0.5201119280837474,0.669361596122925,0.4065040650406504
0.15,1.0,moderate,9,Real only,RandomForest,0.7767167399544935,0.7569198865626137,0.5693430656934306
0.15,1.0,moderate,9,Random oversampling,LogisticRegression,0.5057617770671362,0.5964381278238364,0.39869281045751637
0.15,1.0,moderate,9,Random oversampling,RandomForest,0.7717517928551532,0.8104910226195972,0.6708860759493671
0.15,1.0,moderate,9,SMOTE,LogisticRegression,0.5020638406385454,0.5776050424765914,0.3713355048859935
0.15,1.0,moderate,9,SMOTE,RandomForest,0.7487232266491655,0.8152993689395105,0.6853932584269663
0.15,1.0,moderate,9,SepAware-SMOTE,LogisticRegression,0.5158830181280523,0.6156341424601863,0.39846743295019155
0.15,1.0,moderate,9,SepAware-SMOTE,RandomForest,0.7529248243129029,0.7865048598235855,0.6274509803921569
0.15,2.0,low,0,Real only,LogisticRegression,0.771867756171795,0.8184905077944127,0.6838709677419355
0.15,2.0,low,0,Real only,RandomForest,0.9461136073814621,0.9223283484642963,0.8670520231213873
0.15,2.0,low,0,Random oversampling,LogisticRegression,0.7390888647562303,0.74354186118892,0.596078431372549
0.15,2.0,low,0,Random oversampling,RandomForest,0.9448432461405657,0.9456796698176009,0.9081081081081082
0.15,2.0,low,0,SMOTE,LogisticRegression,0.7367110164068751,0.7538677918424754,0.6111111111111112
0.15,2.0,low,0,SMOTE,RandomForest,0.9425752640683882,0.9422286888052037,0.9021739130434783
0.15,2.0,low,0,SepAware-SMOTE,LogisticRegression,0.7541484832022622,0.7789721762364021,0.6437768240343348
0.15,2.0,low,0,SepAware-SMOTE,RandomForest,0.9372017787276206,0.9237868018622529,0.8700564971751412
0.15,2.0,low,1,Real only,LogisticRegression,0.8885847593089352,0.9073359073359073,0.8432432432432433
0.15,2.0,low,1,Real only,RandomForest,0.9159470878790305,0.9186722981581987,0.861878453038674
0.15,2.0,low,1,Random oversampling,LogisticRegression,0.8864362323509193,0.8461946671823493,0.7510917030567685
0.15,2.0,low,1,Random oversampling,RandomForest,0.9250255649848552,0.9243125052560761,0.8723404255319149
0.15,2.0,low,1,SMOTE,LogisticRegression,0.8800906605341949,0.8418506158444239,0.7445887445887446
0.15,2.0,low,1,SMOTE,RandomForest,0.918646811469361,0.926215900473448,0.8762886597938144
0.15,2.0,low,1,SepAware-SMOTE,LogisticRegression,0.8894341525224526,0.8861596392136258,0.8115942028985508
0.15,2.0,low,1,SepAware-SMOTE,RandomForest,0.910893564684412,0.9287549385781213,0.8791208791208791
0.15,2.0,low,2,Real only,LogisticRegression,0.9589496495856361,0.9648515510584477,0.9405405405405406
0.15,2.0,low,2,Real only,RandomForest,0.9452158232860273,0.9611390574062479,0.9340659340659341
0.15,2.0,low,2,Random oversampling,LogisticRegression,0.9578636980798036,0.9657532469554118,0.9424083769633508
0.15,2.0,low,2,Random oversampling,RandomForest,0.9304606794975685,0.9712421781387299,0.9513513513513514
0.15,2.0,low,2,SMOTE,LogisticRegression,0.960306823146613,0.9654593126403215,0.9417989417989417
0.15,2.0,low,2,SMOTE,RandomForest,0.9336074196255048,0.9681873131004645,0.946236559139785
0.15,2.0,low,2,SepAware-SMOTE,LogisticRegression,0.9576424209631527,0.9648515510584477,0.9405405405405406
0.15,2.0,low,2,SepAware-SMOTE,RandomForest,0.9360940065398686,0.9642158111896074,0.9392265193370166
0.15,2.0,low,3,Real only,LogisticRegression,0.9456125255185706,0.9809123878602787,0.967741935483871
0.15,2.0,low,3,Real only,RandomForest,0.9427270294578051,0.9840234322992945,0.972972972972973
0.15,2.0,low,3,Random oversampling,LogisticRegression,0.9516997863958372,0.9657532469554118,0.9424083769633508
0.15,2.0,low,3,Random oversampling,RandomForest,0.9460326776342857,0.9809123878602787,0.967741935483871
0.15,2.0,low,3,SMOTE,LogisticRegression,0.9530538573717835,0.9687337154768108,0.9473684210526315
0.15,2.0,low,3,SMOTE,RandomForest,0.9337296666020626,0.9809123878602787,0.967741935483871
0.15,2.0,low,3,SepAware-SMOTE,LogisticRegression,0.9447400648232545,0.9809123878602787,0.967741935483871
0.15,2.0,low,3,SepAware-SMOTE,RandomForest,0.946156447800962,0.9743238616912017,0.9565217391304348
0.15,2.0,low,4,Real only,LogisticRegression,0.7882790590641306,0.8277873112225269,0.7006369426751592
0.15,2.0,low,4,Real only,RandomForest,0.9229750329446236,0.9364459930313589,0.8914285714285715
0.15,2.0,low,4,Random oversampling,LogisticRegression,0.7963201061681393,0.7955939132409722,0.6722689075630253
0.15,2.0,low,4,Random oversampling,RandomForest,0.9236239167039169,0.9507548191881111,0.9162011173184358
0.15,2.0,low,4,SMOTE,LogisticRegression,0.7894511695816283,0.7922278837375596,0.6637554585152838
0.15,2.0,low,4,SMOTE,RandomForest,0.92877837194498,0.9477124183006536,0.9111111111111111
